Luminosity,Humidity,Temperature,NoiseLevel,EnvironmentState
125,46,23,152,LIGHT
126,46,23,153,LIGHT
124,46,23,154,LIGHT
158,46,23,156,LIGHT
156,47,23,161,LIGHT
153,46,23,163,LIGHT
154,46,23,163,LIGHT
151,47,23,161,LIGHT
149,46,23,159,LIGHT
7,47,23,154,DARK
7,47,23,157,DARK
7,47,23,158,DARK
7,47,23,160,DARK
8,47,23,168,DARK
7,47,23,165,DARK
21,95,24,145,WET
21,95,24,148,WET
16,86,24,220,WET
21,95,24,141,WET
21,95,24,149,WET
21,95,24,159,WET
20,79,24,159,WET
21,68,24,159,WET
20,19,40,56,HOT
19,18,40,45,HOT
20,18,40,164,HOT
32,18,39,87,HOT
30,19,39,98,HOT
31,19,39,103,HOT
31,20,38,109,HOT
31,20,38,111,HOT
31,20,38,108,HOT
31,30,31,144,DRY
32,30,30,141,DRY
32,31,30,138,DRY
27,32,30,133,DRY
23,32,30,133,DRY
21,31,29,132,DRY
21,31,29,137,DRY
21,32,29,143,DRY
